experiment,molecule,rotation_precision,condition,baseline_condition,code_distance,baseline_code_distance,runtime_change_pct,code_distance_change_pct,physical_runtime_change_pct,qubit_volume_change_pct,physical_minus_beat_percentage_points
grid_capacity_explicit,H4,1e-02,aware_8x8,aware_10x10,13,13,0.0,0.0,0.0,0.7941187121188076,0.0
grid_capacity_explicit,H4,1e-02,aware_12x12,aware_10x10,13,13,0.0,0.0,0.0,0.7960424767224472,0.0
grid_capacity_explicit,H5,1e-05,aware_8x8,aware_10x10,15,15,0.0,0.0,0.0,0.3417115038581997,0.0
grid_capacity_explicit,H5,1e-05,aware_12x12,aware_10x10,15,15,0.0,0.0,0.0,0.3424868562011074,0.0
grid_capacity_explicit,H5,1e-02,aware_8x8,aware_10x10,13,13,0.0,0.0,0.0,0.753656490617649,0.0
grid_capacity_explicit,H5,1e-02,aware_12x12,aware_10x10,13,13,0.0,0.0,0.0,0.7445173040705244,0.0
grid_capacity_explicit,H6,1e-05,aware_8x8,aware_10x10,15,15,2.185176202207373e-05,0.0,2.185176202207373e-05,1.593386523679996,0.0
grid_capacity_explicit,H6,1e-05,aware_12x12,aware_10x10,15,15,-0.00010925881008816418,0.0,-0.00010925881008816418,0.34990340939002884,0.0
grid_capacity_explicit,H6,1e-02,aware_8x8,aware_10x10,15,15,0.004769279109440028,0.0,0.004769279109440028,-0.02378668209730428,0.0
grid_capacity_explicit,H6,1e-02,aware_12x12,aware_10x10,15,15,0.0,0.0,0.0,0.6021035029416755,0.0
grid_capacity_explicit,H7,1e-05,aware_8x8,aware_10x10,17,17,11.121543785294818,0.0,11.121543785294818,14.057450589243302,0.0
grid_capacity_explicit,H7,1e-05,aware_12x12,aware_10x10,17,17,-0.0075521038808812335,0.0,-0.0075521038808812335,0.9288769331515567,0.0
grid_capacity_explicit,H7,1e-02,aware_8x8,aware_10x10,15,15,0.19742011736971765,0.0,0.19742011736971765,1.648029973718046,0.0
grid_capacity_explicit,H7,1e-02,aware_12x12,aware_10x10,15,15,-0.06097222192157359,0.0,-0.06097222192157359,0.3038689965295438,0.0
factory_placement,H4,1e-05,factory_left_edge,factory_center_block,15,13,-0.0001228371449668586,15.384615384615374,15.384473649448104,12.820508918260899,15.384596486593072
factory_placement,H4,1e-05,factory_right_edge,factory_center_block,13,13,0.01891692032536252,0.0,0.01891692032536252,3.366340336111162,0.0
factory_placement,H4,1e-03,factory_left_edge,factory_center_block,13,13,0.0,0.0,0.0,11.344482109756292,0.0
factory_placement,H4,1e-03,factory_right_edge,factory_center_block,13,13,0.016831036431175228,0.0,0.016831036431175228,2.746415024192128,0.0
factory_placement,H4,3e-03,factory_left_edge,factory_center_block,13,13,-0.001586202156178551,0.0,-0.001586202156178551,10.420812111662547,0.0
factory_placement,H4,3e-03,factory_right_edge,factory_center_block,13,13,0.011632149145301973,0.0,0.011632149145301973,2.199256840826558,0.0
factory_placement,H4,1e-02,factory_left_edge,factory_center_block,13,13,0.002732053821463687,0.0,0.002732053821463687,4.074360588364079,0.0
factory_placement,H4,1e-02,factory_right_edge,factory_center_block,13,13,0.016392322928759917,0.0,0.016392322928759917,-0.07446540770629229,0.0
factory_placement,H5,1e-05,factory_left_edge,factory_center_block,15,15,0.00193185453793987,0.0,0.00193185453793987,9.072400593777697,0.0
factory_placement,H5,1e-05,factory_right_edge,factory_center_block,15,15,0.03227610630476274,0.0,0.03227610630476274,2.741067651355622,0.0
factory_placement,H5,1e-03,factory_left_edge,factory_center_block,15,15,0.0017398992914641198,0.0,0.0017398992914641198,7.100148227982861,0.0
factory_placement,H5,1e-03,factory_right_edge,factory_center_block,15,15,0.0217487411433126,0.0,0.0217487411433126,2.2948706434096966,0.0
factory_placement,H5,3e-03,factory_left_edge,factory_center_block,15,15,0.0019319542967854986,0.0,0.0019319542967854986,5.331590707458145,0.0
factory_placement,H5,3e-03,factory_right_edge,factory_center_block,15,15,0.021024208523789945,0.0,0.021024208523789945,1.4962811032053436,0.0
factory_placement,H5,1e-02,factory_left_edge,factory_center_block,13,13,0.00027600521097514985,0.0,0.00027600521097514985,-1.775691055350681,0.0
factory_placement,H5,1e-02,factory_right_edge,factory_center_block,13,13,0.0019320364768482534,0.0,0.0019320364768482534,-0.4407144250892281,0.0
factory_placement,H6,1e-05,factory_left_edge,factory_center_block,15,15,0.0040206943389575756,0.0,0.0040206943389575756,7.847396700299236,0.0
factory_placement,H6,1e-05,factory_right_edge,factory_center_block,15,15,-0.0007211027890474675,0.0,-0.0007211027890474675,2.206637108144438,0.0
factory_placement,H6,1e-03,factory_left_edge,factory_center_block,15,15,0.005092302773768154,0.0,0.005092302773768154,6.263624215433161,0.0
factory_placement,H6,1e-03,factory_right_edge,factory_center_block,15,15,-0.0012635036957475698,0.0,-0.0012635036957475698,1.608678707415656,0.0
factory_placement,H6,3e-03,factory_left_edge,factory_center_block,15,15,0.009637135447304601,0.0,0.009637135447304601,4.435879389179975,0.0
factory_placement,H6,3e-03,factory_right_edge,factory_center_block,15,15,-0.0008581011014752171,0.0,-0.0008581011014752171,1.1301285108693104,0.0
factory_placement,H6,1e-02,factory_left_edge,factory_center_block,15,15,0.02552952728291924,0.0,0.02552952728291924,0.18867146577050686,0.0
factory_placement,H6,1e-02,factory_right_edge,factory_center_block,15,15,-0.00042081638378377306,0.0,-0.00042081638378377306,0.07285805771111153,0.0
factory_placement,H7,1e-05,factory_left_edge,factory_center_block,17,17,0.00812756283135041,0.0,0.00812756283135041,6.740390469764579,0.0
factory_placement,H7,1e-05,factory_right_edge,factory_center_block,17,17,0.005286861259223841,0.0,0.005286861259223841,3.2735130639289567,0.0
factory_placement,H7,1e-03,factory_left_edge,factory_center_block,15,15,0.008442989630230713,0.0,0.008442989630230713,4.929615700156509,0.0
factory_placement,H7,1e-03,factory_right_edge,factory_center_block,15,15,0.006218877272390344,0.0,0.006218877272390344,2.3653596407423594,0.0
factory_placement,H7,3e-03,factory_left_edge,factory_center_block,15,15,0.010645319253121954,0.0,0.010645319253121954,2.442795406958931,0.0
factory_placement,H7,3e-03,factory_right_edge,factory_center_block,15,15,0.0032940233160694277,0.0,0.0032940233160694277,1.1038441515942576,0.0
